business_name,categories,address,rating,latitude,longitude,review_count
Los Angeles River,Landmarks & Historical Buildings,"Los Angeles, CA 90189",3.5,34.048225402832,-118.229965209961,23
A+D Architecture and Design Museum,Museums,"900 E 4th St, Los Angeles, CA 90013",3.5,34.04327,-118.23622,14
1st Street Bridge,Landmarks & Historical Buildings,"Los Angeles, CA 90012",5.0,34.0479690884117,-118.230068343202,7
4th St Bridge,Landmarks & Historical Buildings,"E 4th St Bridge, Los Angeles, CA 90033",4.0,34.0416974000077,-118.226981000007,2
Pecan Park,Parks,"142 S Gless St, Los Angeles, CA 90033",3.0,34.046143,-118.222641,6
Air Treatment Facility - Mission and Jesse Park,Parks,"649 S Mission Rd, Los Angeles, CA 90023",3.0,34.0365108847618,-118.225533887744,2
JOEY DTLA,"Sushi Bars, Steakhouses, Wine Bars","700 W 7th St, Ste S430, Los Angeles, CA 90017",4.5,34.04802842513478,-118.2580505451759,2728
Water Grill - Los Angeles,"Seafood, Bars","544 S Grand Ave, Los Angeles, CA 90071",4.0,34.0490371292754,-118.25470721396856,2697
Bottega Louie,"Italian, Desserts, Breakfast & Brunch","700 S Grand Ave, Los Angeles, CA 90017",4.0,34.047056,-118.256544,18524
Little Sister,Vietnamese,"523 W 7th St, Los Angeles, CA 90017",4.0,34.0471743,-118.2561652,1882
Karl Strauss - Downtown LA,"Breweries, Pubs, American (New)","600 Wilshire Blvd, Ste 100, Los Angeles, CA 90017",4.5,34.04797889349581,-118.25628,741
71 Above,"American (Traditional), Cocktail Bars","633 W 5th St, Fl 71, Los Angeles, CA 90071",4.0,34.0511203,-118.2543221,2542
Takami Sushi & Robata,"Sushi Bars, Japanese, Seafood","811 Wilshire Blvd, Ste 2100, Los Angeles, CA 90017",4.0,34.0498199,-118.25819,2457
DRAGO Centro,Italian,"525 S Flower St, Ste 120, Los Angeles, CA 90071",4.0,34.0514,-118.257504,1671
Perch,"Lounges, French, Breakfast & Brunch","448 S Hill St, Los Angeles, CA 90013",4.0,34.04897,-118.2514,10096
Le Grand,"American (New), Breakfast & Brunch, Cocktail Bars","707 S Grand Ave, Los Angeles, CA 90017",4.0,34.04712,-118.25708,1243
Otium,American (New),"222 S Hope St, Los Angeles, CA 90012",4.0,34.054358,-118.251339,2435
District,"Cocktail Bars, American (Traditional), Venues & Event Spaces","700 West 7th St, Los Angeles, CA 90017",4.0,34.04803159296477,-118.25838604333818,631
SUGARFISH | Downtown LA,"Japanese, Sushi Bars","600 W 7th St, Ste 150, Los Angeles, CA 90017",4.0,34.0473871154639,-118.257194872353,2745
LA Prime,Steakhouses,"404 S Figueroa St, The Westin Bonaventure Hotel and Suites, Los Angeles, CA 90071",4.0,34.0522793152641,-118.255719402447,1070
Pez Cantina,"Seafood, Mexican, Bars","401 S Grand Ave, Fl 1, Los Angeles, CA 90071",4.0,34.05148699712437,-118.25329584739484,1225
H&H Brazilian Steakhouse Downtown LA,"Brazilian, Venues & Event Spaces, Halal","518 W 7th St, Los Angeles, CA 90014",4.5,34.04665,-118.25616,992
HATCH,"Japanese, Bars, Tapas/Small Plates","700 W 7th St, Ste G600, Los Angeles, CA 90017",4.0,34.047821,-118.258738,882
Library Bar,"American (New), Cocktail Bars","630 W 6th St, Ste 116-A, Los Angeles, CA 90017",4.0,34.04914,-118.25646,1854
JINYA Ramen Bar - Los Angeles,Ramen,"700 Wilshire Blvd, Ste B, Los Angeles, CA 90017",4.0,34.04868916422349,-118.25741887140612,610
Maccheroni Republic,"Italian, Wine Bars","332 S Broadway, Los Angeles, CA 90013",4.5,34.0500282776566,-118.24852800000085,3928
Niku X,"Japanese, Steakhouses, Bars","900 Wilshire Blvd, Ste 212, Los Angeles, CA 90017",4.5,34.0504,-118.26024,295
Guisados DTLA,Mexican,"541 S Spring St, Ste 101, Los Angeles, CA 90013",4.5,34.0465305975394,-118.250679851854,2097
Cicada Restaurant and Lounge,"Italian, Venues & Event Spaces, Music Venues","617 S Olive St, Ste 100, Los Angeles, CA 90014",4.0,34.047835,-118.254873,563
Fixins Soul Kitchen - Los Angeles,"Soul Food, Comfort Food, American (Traditional)","800 W Olympic Blvd, Ste A150, Los Angeles, CA 90015",4.5,34.04484,-118.26453,1684
Mamá Por Dios,"Seafood, Sushi Bars, Steakhouses","800 W 6th St, Los Angeles, CA 90017",3.5,34.05003644830255,-118.25789290000978,275
Pitchoun!,"Cafes, Bakeries, Breakfast & Brunch","545 S Olive St, Los Angeles, CA 90013",4.0,34.0485543132128,-118.254053902141,1224
Nick + Stef's Steakhouse,"Steakhouses, Venues & Event Spaces","330 S Hope St, Los Angeles, CA 90071",4.0,34.052947725926536,-118.252497,865
Mrs Fish,"Cocktail Bars, Sushi Bars, Japanese","448 South Hill St, Los Angeles, CA 90013",4.0,34.048841,-118.251357,1587
KazuNori | DTLA,"Sushi Bars, Japanese","421 S Main St, Los Angeles, CA 90013",4.5,34.0476390576719,-118.247747561303,3405
La Boucherie,"Steakhouses, Bars, American (New)","900 Wilshire Blvd, Fl 71, Los Angeles, CA 90017",4.0,34.0497318674171,-118.260605968262,514
The Capital Grille,"Steakhouses, Seafood, Wine Bars","700 W 9th St, Unit B, Los Angeles, CA 90015",4.5,34.0461174,-118.26265038,187
Sol Agave - LA LIVE,New Mexican Cuisine,"800 W Olympic Blvd, Ste A130, Los Angeles, CA 90015",4.5,34.04501146361135,-118.2649805036731,591
Denae’s Diner,"Diners, Breakfast & Brunch, Comfort Food","550 Flower St, Los Angeles, CA 90071",4.5,34.050194,-118.256985,24
Checkers Downtown,"Bars, American (Traditional), Salad","535 S Grand Ave, Los Angeles, CA 90071",3.5,34.049392,-118.2548728,131
Noe Restaurant and Bar,"Bars, French, Music Venues","251 S Olive St, Los Angeles, CA 90012",4.0,34.0526399,-118.25038,569
Anna's Fish Market DTLA,"Seafood, Fish & Chips, Poke","812 W 7th St, Los Angeles, CA 90017",4.0,34.0487526,-118.2591268,870
Fogo de Chão Brazilian Steakhouse,"Steakhouses, Brazilian","800 S Figueroa, Los Angeles, CA 90017",4.0,34.04761864674499,-118.2610875803566,1986
Seven Grand,"Lounges, Whiskey Bars","515 W 7th St, Fl 2, Los Angeles, CA 90014",4.0,34.047132,-118.2558135,2251
Downtown LA Pho,Vietnamese,"505 Flower St, Ste B300 A, Los Angeles, CA 90071",4.5,34.05147,-118.25649,56
